id,nombre,categoria,tipo,referencia,precio,,coste,activo
1,BANDA Cubitron II  1/2x18” 36+,82,product,0580-0217,28.67,1.4335,27.2365,True
2,BANDA Cubitron II  1/2x18” 80+,82,product,0580-0218,28.67,1.4335,27.2365,True
3,CUBETA WETODTY 3M,82,product,0306-0007,0.09,0.0045,0.0855,True
4,DISCO 3M CTE.PREC.A.INOX 4 1/2,82,product,0278-0031,10.23,0.5115,9.7185,True
5,DISCO 3M CTE.PREC.METAL  4 1/2,82,product,0279-0139,9.59,0.4795,9.1105,True
6,DISCO CLEAN&STRIP 4.5X7/8”FIBR,81,product,0286-0025,72.89,3.6445,69.2455,True
7,DISCO CLEAN&STRIP 4x1x1/4”FIBR,81,product,0286-0044,340.16,17.008,323.152,True
8,DISCO CLEAN&STRIP 7x7/8”T27 XT,81,product,0286-0048,170.8,8.54,162.26,True
9,DISCO CTE.3M BLACK  4.5” 28672,82,product,0279-0166,6.35,0.3175,6.0325,True
10,DISCO CTE.3M BLACK 14”   72651,82,product,0279-0167,43.75,2.1875,41.5625,True
11,DISCO CTE.CUBITRON II 3” 33455,82,product,0279-0161,92.07,4.6035,87.4665,True
12,DISCO CTE.CUBITRON II 3” 33456,82,product,0279-0163,92.07,4.6035,87.4665,True
13,DISCO CTE.CUBITRON II 4 1/2”,82,product,0279-0162,99.91,4.9955,94.9145,True
14,DISCO CUBITRON II 982C 4.5”#36,81,product,0289-0097,46.8,2.34,44.46,True
15,DISCO CUBITRON II 982C 4.5”#60,81,product,0289-0098,48.2,2.41,45.79,True
16,DISCO CUBITRON II 982C 4.5”#80,81,product,0289-0099,46.8,2.34,44.46,True
17,DISCO CUBITRON II 982C 7” # 36,81,product,0289-0080,64.12,3.206,60.914,True
18,DISCO CUBITRON II 982C 7” # 60,81,product,0289-0100,61.29,3.0645,58.2255,True
19,DISCO CUBITRON II 982C 7” # 80,81,product,0289-0101,63.13,3.1565,59.9735,True
20,DISCO DESB.3M BLACK  4.5”72674,82,product,0284-0084,13,0.65,12.35,True
21,DISCO DESB.3M BLACK  7”  72678,82,product,0284-0085,24.2,1.21,22.99,True
22,DISCO DESB.CUBITRON II 4 1/2”,82,product,0284-0071,127.06,6.353,120.707,True
23,DISCO DESB.CUBITRON II 7”,82,product,0284-0072,187.57,9.3785,178.1915,True
24,DISCO DESB.CUBITRON II 7”,82,product,0284-0088,187.59,9.3795,178.2105,True
25,DISCO FIBRA 987C 4.5x7/8” # 60,82,product,0286-0045,47.21,2.3605,44.8495,True
26,DISCO FIBRA 987C 7x7/8”   # 36,81,product,0286-0026,63.55,3.1775,60.3725,True
27,DISCO FIBRA 987C 7x7/8”   # 60,82,product,0286-0046,61.7,3.085,58.615,True
28,DISCO FIBRA 987C 7x7/8”   # 80,82,product,0286-0047,61.7,3.085,58.615,True
29,DISCO FIBRA CUBITRON 4.5” # 36,82,product,0286-0038,51.41,2.5705,48.8395,True
30,DISCO FIBRA CUBITRON 4.5” # 80,82,product,0286-0039,51.41,2.5705,48.8395,True
31,DISCO FIBRA CUBITRON II 4”# 36,82,product,0286-0041,46.6,2.33,44.27,True
32,DISCO FIBRA CUBITRON II 4”# 80,82,product,0286-0042,46.6,2.33,44.27,True
33,DISCO FIBRA CUBITRON II 7”# 36,82,product,0286-0040,66.76,3.338,63.422,True
34,DISCO FIBRA CUBITRON II 7”# 80,82,product,0286-0043,66.76,3.338,63.422,True
35,DISCO FLAP 566A # 40  4.5x7/8”,82,product,0288-0126,44.82,2.241,42.579,True
36,DISCO FLAP 566A # 60  4.5x7/8”,82,product,0288-0127,44.82,2.241,42.579,True
37,DISCO FLAP 566A # 60YF 7X7/8”,82,product,0288-0118,145.9,7.295,138.605,True
